Left	Right	Torso
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1546.646
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1548.283
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
-0.053	-0.067	1552.883
