velbody	velleft	velright	Posbody	Posleft	Posright
-0.034	0.003	-0.009	179.316	185.846	185.827
-2.082	-2.211	-2.162	704.994	732.233	732.236
-9.787	-10.843	-10.468	1317.032	1369.797	1370.449
-24.425	-27.391	-26.349	1717.172	1788.342	1789.852
-40.987	-46.363	-44.448	1889.352	1971.590	1973.045
-50.781	-58.264	-55.492	1919.343	2004.860	2006.286
-52.216	-61.231	-57.714	1888.202	1975.261	1976.567
-50.064	-60.238	-56.077	1842.383	1937.299	1936.781
-47.073	-58.150	-53.434	1807.713	1910.789	1909.253
-44.163	-55.931	-50.737	1791.619	1897.536	1897.979
-41.712	-53.980	-48.381	1788.034	1894.401	1896.608
-39.610	-52.189	-46.263	1787.733	1896.437	1898.595
-37.725	-50.452	-44.273	1786.175	1899.139	1900.887
-35.910	-48.656	-42.297	1785.313	1900.082	1902.268
-34.096	-46.757	-40.280	1787.856	1899.115	1902.608
-32.290	-44.767	-38.227	1794.422	1898.350	1902.095
-30.482	-42.709	-36.152	1804.145	1898.694	1901.242
-28.650	-40.613	-34.086	1811.333	1899.002	1900.652
-26.791	-38.502	-32.049	1808.209	1899.161	1901.026
-24.910	-36.390	-30.045	1801.449	1899.227	1901.924
-23.007	-34.292	-28.075	1801.616	1898.443	1902.066
-21.120	-32.218	-26.146	1807.617	1897.873	1901.219
-19.298	-30.173	-24.269	1817.223	1898.888	1900.064
-17.538	-28.169	-22.450	1825.996	1899.822	1899.710
-15.825	-26.216	-20.695	1828.429	1900.390	1900.607
-14.144	-24.320	-19.003	1826.940	1901.534	1901.718
-12.456	-22.485	-17.367	1823.814	1901.206	1902.246
-10.789	-20.712	-15.790	1818.620	1899.570	1902.251
-9.224	-18.999	-14.279	1811.489	1899.370	1901.920
-7.808	-17.347	-12.842	1801.798	1900.116	1901.391
-6.556	-15.767	-11.488	1794.952	1900.408	1900.822
-5.475	-14.264	-10.216	1794.004	1900.418	1900.551
-4.566	-12.841	-9.016	1794.865	1899.715	1901.140
-3.799	-11.497	-7.887	1796.058	1897.713	1902.288
-3.115	-10.227	-6.831	1795.914	1895.768	1902.673
-2.483	-9.027	-5.855	1794.591	1894.326	1902.202
-1.899	-7.894	-4.966	1792.842	1893.705	1901.544
-1.365	-6.828	-4.162	1789.931	1895.243	1900.957
-0.891	-5.838	-3.433	1787.002	1897.108	1900.977
-0.484	-4.923	-2.764	1786.097	1898.024	1901.485
-0.147	-4.080	-2.138	1788.838	1898.577	1901.511
0.133	-3.303	-1.548	1793.290	1898.428	1900.996
0.382	-2.587	-0.999	1795.697	1897.266	1900.621
0.621	-1.930	-0.498	1795.054	1896.058	1901.050
0.864	-1.334	-0.050	1792.626	1896.996	1902.420
1.101	-0.795	0.345	1790.361	1900.002	1903.722
1.304	-0.300	0.693	1788.264	1902.307	1904.351
1.458	0.154	1.007	1785.164	1902.446	1904.519
1.564	0.572	1.305	1783.255	1901.788	1903.835
1.623	0.949	1.587	1784.830	1901.291	1902.474
1.638	1.282	1.835	1787.145	1900.430	1901.910
1.626	1.568	2.042	1787.016	1899.645	1901.834
1.615	1.805	2.209	1784.834	1899.939	1901.329
1.610	1.997	2.339	1782.246	1900.825	1901.321
1.591	2.152	2.437	1783.784	1901.464	1901.928
1.553	2.277	2.511	1792.942	1901.513	1902.986
1.503	2.376	2.568	1804.068	1900.529	1904.253
1.473	2.458	2.610	1810.201	1899.509	1904.359
1.526	2.528	2.630	1813.727	1899.469	1902.918
1.683	2.589	2.627	1819.107	1899.466	1900.969
1.924	2.634	2.603	1825.085	1898.792	1899.846
2.224	2.648	2.561	1831.076	1897.921	1899.414
2.563	2.628	2.501	1837.824	1897.451	1898.879
2.925	2.584	2.425	1844.782	1898.177	1899.249
3.305	2.521	2.336	1852.853	1899.838	1901.164
3.704	2.448	2.242	1861.067	1901.327	1903.547
4.122	2.374	2.150	1865.235	1902.414	1905.207
4.564	2.312	2.070	1863.383	1901.866	1904.801
5.007	2.264	2.000	1859.154	1899.534	1902.856
5.409	2.220	1.933	1857.342	1898.148	1901.690
5.738	2.168	1.859	1858.594	1898.466	1901.545
5.976	2.097	1.766	1860.782	1898.794	1901.540
6.132	2.007	1.657	1862.568	1898.865	1902.359
6.243	1.910	1.548	1864.586	1899.447	1903.427
6.325	1.812	1.444	1867.048	1900.102	1902.814
6.386	1.714	1.348	1868.233	1900.203	1901.299
6.436	1.622	1.261	1867.947	1900.001	1900.408
6.472	1.532	1.181	1867.675	1899.424	1900.440
6.477	1.437	1.103	1866.511	1898.668	1900.680
6.445	1.341	1.025	1864.692	1898.131	1900.571
6.376	1.247	0.945	1864.527	1897.768	1900.543
6.276	1.156	0.865	1866.269	1897.964	1900.492
6.147	1.068	0.783	1868.333	1898.588	1900.517
5.988	0.983	0.699	1867.828	1899.285	1900.734
5.808	0.902	0.614	1865.815	1899.964	1900.688
5.617	0.825	0.539	1866.161	1899.897	1900.402
5.418	0.752	0.475	1867.675	1898.955	1900.183
5.203	0.682	0.420	1868.792	1898.385	1900.586
4.977	0.613	0.368	1868.199	1898.876	1901.696
4.750	0.550	0.317	1865.378	1900.265	1902.641
4.520	0.496	0.269	1864.649	1901.375	1902.835
4.285	0.450	0.228	1867.296	1901.154	1902.758
4.045	0.414	0.195	1870.728	1901.143	1902.931
3.802	0.385	0.175	1873.403	1901.520	1902.641
3.568	0.361	0.167	1875.132	1901.090	1901.929
3.362	0.339	0.164	1877.249	1901.083	1901.333
3.195	0.316	0.162	1878.118	1901.896	1900.728
3.060	0.291	0.161	1874.884	1902.558	1900.298
2.950	0.258	0.162	1870.760	1902.481	1900.250
2.845	0.218	0.164	1869.974	1902.025	1900.266
2.709	0.176	0.169	1871.819	1902.059	1899.971
2.529	0.134	0.175	1873.359	1902.247	1900.183
2.324	0.094	0.182	1872.460	1901.530	1900.847
2.128	0.057	0.186	1870.250	1900.417	1901.479
1.955	0.023	0.188	1868.695	1900.494	1902.499
1.804	-0.008	0.187	1867.635	1900.801	1903.002
1.662	-0.032	0.182	1868.004	1900.897	1902.617
1.503	-0.041	0.170	1869.889	1902.028	1902.726
1.319	-0.033	0.150	1870.495	1903.756	1902.910
1.114	-0.008	0.122	1869.751	1904.372	1901.902
0.901	0.024	0.096	1869.939	1903.079	1900.981
0.703	0.053	0.078	1869.012	1901.513	1901.196
0.526	0.073	0.061	1864.149	1900.866	1901.460
0.366	0.084	0.038	1856.758	1900.058	1901.668
0.202	0.091	0.007	1849.952	1899.204	1902.346
0.006	0.099	-0.032	1846.241	1899.239	1902.902
-0.219	0.109	-0.076	1844.257	1899.963	1903.041
-0.458	0.121	-0.119	1840.459	1901.632	1902.482
-0.713	0.134	-0.158	1836.098	1903.539	1900.690
-0.989	0.147	-0.182	1832.456	1903.601	1898.366
-1.284	0.153	-0.188	1828.390	1901.782	1897.404
-1.588	0.138	-0.181	1824.246	1899.907	1898.045
-1.899	0.107	-0.171	1819.866	1898.524	1898.854
-2.213	0.070	-0.174	1815.764	1897.308	1899.248
-2.530	0.037	-0.195	1811.834	1896.891	1899.507
-2.848	0.012	-0.230	1808.841	1898.593	1900.320
-3.163	-0.003	-0.269	1807.828	1901.516	1901.744
-3.469	-0.010	-0.301	1806.037	1902.313	1902.274
-3.758	-0.009	-0.317	1802.250	1900.057	1901.836
-4.016	0.002	-0.311	1801.119	1897.542	1902.097
-4.243	0.020	-0.294	1803.420	1896.810	1902.659
-4.447	0.039	-0.293	1802.931	1897.690	1903.065
-4.623	0.055	-0.311	1798.888	1899.636	1903.525
-4.752	0.074	-0.332	1794.511	1901.265	1903.578
-4.845	0.095	-0.342	1791.615	1901.619	1902.572
-4.933	0.117	-0.334	1792.914	1900.919	1901.107
-5.023	0.135	-0.309	1798.545	1899.902	1900.865
-5.093	0.140	-0.282	1803.281	1899.321	1900.551
-5.118	0.132	-0.260	1804.453	1898.947	1899.237
-5.067	0.118	-0.246	1802.599	1898.404	1898.019
-4.948	0.099	-0.240	1797.287	1898.302	1897.363
-4.800	0.069	-0.240	1792.525	1899.022	1897.929
-4.658	0.031	-0.241	1792.145	1900.089	1899.123
-4.548	-0.007	-0.240	1794.166	1901.079	1900.086
-4.465	-0.039	-0.232	1795.726	1900.890	1900.589
-4.372	-0.058	-0.213	1794.720	1899.721	1900.333
-4.255	-0.065	-0.188	1791.820	1898.847	1899.767
-4.121	-0.066	-0.167	1790.800	1898.875	1898.835
-3.981	-0.068	-0.155	1792.849	1899.852	1897.676
-3.848	-0.075	-0.149	1796.238	1900.064	1897.726
-3.716	-0.090	-0.145	1799.675	1899.239	1898.900
-3.561	-0.106	-0.139	1801.991	1898.598	1900.008
-3.380	-0.116	-0.135	1801.014	1898.833	1900.996
-3.183	-0.118	-0.134	1796.282	1900.050	1901.335
-2.986	-0.113	-0.133	1790.231	1900.862	1900.897
-2.814	-0.100	-0.126	1786.274	1900.857	1900.707
-2.678	-0.080	-0.111	1785.788	1901.214	1901.067
-2.580	-0.056	-0.089	1787.398	1901.715	1901.873
-2.532	-0.033	-0.061	1791.213	1901.392	1902.196
-2.512	-0.012	-0.030	1796.350	1900.190	1902.028
-2.471	0.011	-0.000	1799.658	1898.264	1902.819
-2.384	0.037	0.023	1799.900	1896.950	1903.828
-2.247	0.065	0.030	1798.788	1897.395	1903.647
-2.076	0.094	0.021	1797.395	1899.207	1902.917
-1.902	0.123	0.005	1796.390	1900.561	1903.031
-1.743	0.152	-0.009	1797.701	1899.140	1903.282
-1.602	0.175	-0.009	1799.188	1896.961	1902.546
-1.472	0.191	0.000	1798.922	1896.899	1902.056
-1.339	0.201	-0.003	1798.751	1897.445	1902.111
-1.201	0.207	-0.021	1798.959	1897.515	1902.137
-1.068	0.208	-0.040	1799.272	1898.145	1901.956
-0.944	0.205	-0.054	1799.371	1899.120	1901.140
-0.826	0.200	-0.062	1797.757	1899.624	1900.438
-0.715	0.192	-0.063	1795.494	1899.632	1901.095
-0.617	0.177	-0.057	1795.021	1899.255	1902.611
-0.537	0.158	-0.045	1795.748	1899.555	1903.671
-0.477	0.148	-0.034	1796.763	1900.817	1903.646
-0.429	0.150	-0.022	1796.324	1901.145	1902.843
-0.380	0.157	-0.006	1792.581	1900.297	1902.753
-0.324	0.170	0.018	1789.848	1899.634	1903.297
-0.275	0.184	0.044	1790.543	1899.198	1903.153
-0.245	0.195	0.066	1791.694	1899.087	1902.264
-0.225	0.204	0.081	1791.853	1899.336	1900.775
-0.201	0.209	0.092	1790.510	1899.626	1899.756
-0.176	0.207	0.099	1789.174	1900.641	1900.489
-0.151	0.189	0.107	1789.440	1901.779	1901.868
-0.130	0.159	0.118	1790.427	1902.116	1902.162
-0.115	0.137	0.137	1790.216	1901.774	1901.100
-0.104	0.124	0.163	1788.878	1900.543	1900.068
-0.092	0.111	0.189	1788.461	1898.575	1900.317
-0.080	0.095	0.205	1788.684	1897.136	1900.842
-0.075	0.075	0.205	1789.099	1896.974	1900.520
-0.077	0.053	0.188	1789.763	1897.094	1899.313
-0.079	0.034	0.159	1791.198	1897.755	1898.455
-0.073	0.014	0.127	1794.249	1899.155	1899.262
-0.058	-0.013	0.098	1797.334	1899.342	1901.144
-0.026	-0.042	0.078	1798.489	1897.718	1902.823
0.033	-0.058	0.067	1798.386	1896.396	1903.144
0.114	-0.059	0.060	1797.098	1897.622	1902.355
0.199	-0.046	0.042	1793.320	1899.974	1901.653
0.271	-0.027	0.019	1790.183	1900.570	1901.105
0.314	-0.014	0.009	1790.660	1900.227	1900.354
0.324	-0.011	0.016	1792.999	1900.747	1899.964
0.312	-0.015	0.029	1796.339	1901.593	1899.959
0.296	-0.026	0.043	1800.282	1901.952	1899.687
0.302	-0.039	0.062	1801.944	1901.797	1899.330
0.337	-0.053	0.085	1801.487	1900.838	1899.330
0.400	-0.068	0.108	1803.189	1899.101	1899.313
0.481	-0.084	0.124	1807.085	1897.613	1899.077
0.564	-0.099	0.127	1810.159	1897.213	1899.842
0.650	-0.112	0.114	1811.432	1897.783	1901.685
0.756	-0.119	0.090	1811.570	1898.538	1903.331
0.879	-0.118	0.061	1812.502	1898.910	1903.830
1.000	-0.101	0.038	1813.153	1899.427	1903.014
1.111	-0.070	0.025	1811.605	1899.556	1901.514
1.213	-0.038	0.018	1808.967	1898.550	1900.449
1.298	-0.014	0.015	1807.782	1897.895	1901.244
1.351	-0.004	0.009	1809.561	1898.251	1902.889
1.372	-0.003	-0.000	1811.908	1899.328	1903.179
1.380	0.005	-0.011	1810.762	1900.842	1902.243
1.383	0.021	-0.019	1806.948	1901.864	1901.548
1.384	0.037	-0.014	1805.887	1901.872	1901.701
1.375	0.047	0.003	1811.509	1901.182	1901.963
1.339	0.052	0.026	1825.564	1900.458	1901.776
1.271	0.054	0.053	1841.208	1900.053	1901.414
1.233	0.052	0.079	1848.376	1899.130	1901.502
1.339	0.048	0.095	1846.463	1898.241	1901.882
1.588	0.044	0.098	1838.571	1898.744	1901.729
1.877	0.041	0.090	1827.863	1898.946	1901.784
