LeftX	RightX	Torso	LeftY	RightY
0.024	-0.009	1502.530	-0.068	-0.739
0.024	-0.009	1502.530	-0.068	-0.739
0.024	-0.010	1502.530	-0.026	-0.741
0.024	-0.010	1502.530	-0.026	-0.741
0.023	-0.011	1502.530	0.052	-0.740
0.023	-0.011	1502.530	0.052	-0.740
0.023	-0.011	1502.530	0.052	-0.740
0.022	-0.012	1502.530	0.113	-0.737
0.022	-0.012	1502.530	0.113	-0.737
0.022	-0.012	1502.530	0.113	-0.737
0.020	-0.013	1502.530	0.258	-0.731
0.020	-0.013	1502.530	0.258	-0.731
0.020	-0.013	1502.530	0.258	-0.731
0.019	-0.015	1502.530	0.348	-0.720
0.019	-0.015	1502.530	0.348	-0.720
0.019	-0.015	1502.530	0.348	-0.720
0.019	-0.015	1502.530	0.348	-0.720
0.018	-0.017	1502.530	0.414	-0.701
0.018	-0.017	1502.530	0.414	-0.701
0.018	-0.017	1502.530	0.414	-0.701
0.018	-0.017	1502.530	0.414	-0.701
0.018	-0.017	1502.530	0.441	-0.691
0.018	-0.017	1502.530	0.441	-0.691
0.018	-0.017	1502.530	0.441	-0.691
0.017	-0.019	1502.530	0.486	-0.667
0.017	-0.019	1502.530	0.486	-0.667
0.017	-0.019	1502.530	0.486	-0.667
0.017	-0.019	1502.530	0.525	-0.641
0.017	-0.019	1502.530	0.525	-0.641
0.017	-0.019	1502.530	0.525	-0.641
0.017	-0.019	1502.530	0.525	-0.641
0.016	-0.019	1502.530	0.559	-0.614
0.016	-0.019	1502.530	0.559	-0.614
0.016	-0.019	1502.530	0.559	-0.614
0.015	-0.019	1502.530	0.589	-0.582
0.015	-0.019	1502.530	0.589	-0.582
0.015	-0.019	1502.530	0.589	-0.582
0.015	-0.019	1502.530	0.589	-0.582
0.015	-0.018	1502.530	0.603	-0.563
0.015	-0.018	1502.530	0.603	-0.563
0.015	-0.018	1502.530	0.603	-0.563
0.015	-0.018	1502.530	0.603	-0.563
0.015	-0.016	1502.530	0.627	-0.515
0.015	-0.016	1502.530	0.627	-0.515
0.015	-0.016	1502.530	0.627	-0.515
0.015	-0.016	1502.530	0.627	-0.515
0.014	-0.013	1502.530	0.643	-0.454
0.014	-0.013	1502.530	0.643	-0.454
0.014	-0.013	1502.530	0.643	-0.454
0.014	-0.013	1502.530	0.643	-0.454
0.014	-0.011	1502.530	0.656	-0.400
0.014	-0.011	1502.530	0.656	-0.400
0.014	-0.011	1502.530	0.656	-0.400
0.014	-0.011	1502.530	0.656	-0.400
0.014	-0.006	1502.530	0.671	-0.338
0.014	-0.006	1502.530	0.671	-0.338
