LeftX	RightX	Torso	LeftY	RightY
-0.290	-0.004	1502.530	2.078	-0.968
-0.290	-0.004	1502.530	2.078	-0.968
-0.290	-0.004	1502.530	2.078	-0.968
-0.301	-0.005	1502.530	2.134	-0.966
-0.301	-0.005	1502.530	2.134	-0.966
-0.301	-0.005	1502.530	2.134	-0.966
-0.313	-0.005	1502.530	2.196	-0.965
-0.313	-0.005	1502.530	2.196	-0.965
-0.313	-0.005	1502.530	2.196	-0.965
-0.349	-0.007	1502.530	2.395	-0.961
-0.349	-0.007	1502.530	2.395	-0.961
-0.349	-0.007	1502.530	2.395	-0.961
-0.349	-0.007	1502.530	2.395	-0.961
-0.349	-0.007	1502.530	2.395	-0.961
-0.349	-0.007	1502.530	2.395	-0.961
-0.349	-0.007	1502.530	2.395	-0.961
-0.409	-0.008	1502.530	2.714	-0.960
-0.409	-0.008	1502.530	2.714	-0.960
-0.409	-0.008	1502.530	2.714	-0.960
-2.584	-0.011	1502.530	13.945	-0.956
-2.584	-0.011	1502.530	13.945	-0.956
-2.584	-0.011	1502.530	13.945	-0.956
-2.584	-0.011	1502.530	13.945	-0.956
-24.866	-0.011	1502.530	-16.355	-0.955
-24.866	-0.011	1502.530	-16.355	-0.955
-24.866	-0.011	1502.530	-16.355	-0.955
1.041	-0.013	1502.530	-4.726	-0.955
1.041	-0.013	1502.530	-4.726	-0.955
1.041	-0.013	1502.530	-4.726	-0.955
0.468	-0.014	1502.530	-1.466	-0.955
0.468	-0.014	1502.530	-1.466	-0.955
0.468	-0.014	1502.530	-1.466	-0.955
0.282	-0.015	1502.530	-0.781	-0.953
0.282	-0.015	1502.530	-0.781	-0.953
0.282	-0.015	1502.530	-0.781	-0.953
0.282	-0.015	1502.530	-0.781	-0.953
0.244	-0.016	1502.530	-0.593	-0.952
0.244	-0.016	1502.530	-0.593	-0.952
0.244	-0.016	1502.530	-0.593	-0.952
0.244	-0.016	1502.530	-0.593	-0.952
0.208	-0.017	1502.530	-0.447	-0.951
0.208	-0.017	1502.530	-0.447	-0.951
